ascat_1,ascat_2,ascat_3,date,oscat_1,oscat_2,oscat_3,qscat_1,qscat_2,qscat_3
0,0,0,2008211,0,0,0,-65.433,116.3332,1
0,0,0,2008212,0,0,0,-65.433,116.3332,1
0,0,0,2008213,0,0,0,-65.433,116.3332,1
0,0,0,2008214,0,0,0,-65.433,116.3332,1
0,0,0,2008215,0,0,0,-65.433,116.3332,1
0,0,0,2008216,0,0,0,-65.433,116.3332,1
0,0,0,2008217,0,0,0,-65.433,116.3332,1
0,0,0,2008218,0,0,0,-65.433,116.3332,1
0,0,0,2008219,0,0,0,-65.433,116.3332,1
0,0,0,2008220,0,0,0,-65.433,116.3332,1
0,0,0,2008221,0,0,0,-65.433,116.3332,1
0,0,0,2008222,0,0,0,-65.433,116.3332,1
0,0,0,2008223,0,0,0,-65.433,116.3332,1
0,0,0,2008224,0,0,0,-65.433,116.3332,1
0,0,0,2008225,0,0,0,-65.433,116.3332,1
0,0,0,2008226,0,0,0,-65.433,116.3332,1
0,0,0,2008227,0,0,0,-65.433,116.3332,1
0,0,0,2008228,0,0,0,-65.433,116.3332,1
0,0,0,2008229,0,0,0,-65.433,116.3332,1
0,0,0,2008230,0,0,0,-65.433,116.3332,1
0,0,0,2008231,0,0,0,-65.433,116.3332,1
0,0,0,2008232,0,0,0,-65.433,116.3332,1
0,0,0,2008233,0,0,0,-65.433,116.3332,1
0,0,0,2008234,0,0,0,-65.433,116.3332,1
0,0,0,2008235,0,0,0,-65.433,116.3332,1
0,0,0,2008236,0,0,0,-65.433,116.3332,1
0,0,0,2008237,0,0,0,-65.3839,116.4433,1
0,0,0,2008238,0,0,0,-65.3839,116.4433,1
0,0,0,2008239,0,0,0,-65.3839,116.4433,1
0,0,0,2008240,0,0,0,-65.3839,116.4433,1
0,0,0,2008241,0,0,0,-65.3839,116.4433,1
0,0,0,2008242,0,0,0,-65.3839,116.4433,1
0,0,0,2008243,0,0,0,-65.3839,116.4433,1
0,0,0,2008244,0,0,0,-65.3839,116.4433,1
0,0,0,2008245,0,0,0,-65.3839,116.4433,1
0,0,0,2008246,0,0,0,-65.3839,116.4433,1
0,0,0,2008247,0,0,0,-65.3839,116.4433,1
0,0,0,2008248,0,0,0,-65.3839,116.4433,1
0,0,0,2008249,0,0,0,-65.3839,116.4433,1
0,0,0,2008250,0,0,0,-65.3839,116.4433,1
0,0,0,2008251,0,0,0,-65.3839,116.4433,1
0,0,0,2008252,0,0,0,-65.3839,116.4433,1
0,0,0,2008253,0,0,0,-65.3839,116.4433,1
0,0,0,2008254,0,0,0,-65.3839,116.4433,1
0,0,0,2008255,0,0,0,-65.3839,116.4433,1
